Distance,Mass,Radius,Cluster
0.0419047474758474,0.0002072450559551,8.706523365958652e-05,1
0.0609523668103235,6.570221278374362e-05,0.0001272408187125,1
0.0695237955108378,0.000151286257492,8.38934769448775e-05,1
0.0380952236089521,0.0002204118320641,8.812248589782283e-05,1
0.0396380807750447,0.0001973699738734,8.812248589782283e-05,1
0.0329523663886435,8.874407097443528e-05,0.0001304125754272,1
0.0971428435458283,0.0001216610112468,0.0001409850978096,1
0.0371428426422283,0.0001809115037372,8.600798142135012e-05,1
0.0619047477770473,0.0002171201380368,8.812248589782283e-05,1
0.048571414242914,0.0002434536902547,9.235149485076808e-05,1
0.0571428429434283,0.000233578608173,9.023699037429544e-05,1
0.0127618898940988,8.216068291995194e-05,8.495072918311381e-05,1
0.0281904615550245,0.0001315360933285,8.072172023016857e-05,1
0.024571413881474,0.0001183693172196,8.072172023016857e-05,1
0.0466666523094664,0.000138119481383,8.072172023016857e-05,1
0.0523809381098093,0.0002302869141458,9.023699037429544e-05,1
0.0571428429434283,3.192943206424414e-06,0.0071706552298428,1
0.0153333185042531,0.0001414111754103,8.072172023016857e-05,1
0.0333333187753331,0.0001677447276282,8.495072918311381e-05,1
0.0409523665091235,0.0001545779515192,8.600798142135012e-05,1
0.0523809381098093,0.0002862457126089,0.0001029240172331,1
0.0733333193777331,0.0001479945634647,8.283622470664118e-05,1
0.022409509087011,0.0002006616679006,8.706523365958652e-05,1
0.0409523665091235,0.0002072450559551,8.706523365958652e-05,1
0.0262856996215769,0.0002500370783092,9.44659993272407e-05,1
0.0476190332761902,0.0001611613395737,8.495072918311381e-05,1
0.0190476042744759,0.0001348277873558,8.072172023016857e-05,1
0.016571413760994,0.0001019108470834,8.177897246840488e-05,1
0.0561904619767045,0.0001578696455465,8.283622470664118e-05,1
0.043809509409295,0.0001414111754103,8.072172023016857e-05,1
0.0523809381098093,0.0001644530336009,8.495072918311381e-05,1
0.0571428429434283,8.545237694719361e-05,0.0001304125754272,1
0.0504761761763616,0.0001578696455465,8.38934769448775e-05,1
0.0327618901952988,0.0001348277873558,8.072172023016857e-05,1
0.0125237946524178,0.0002500370783092,9.44659993272407e-05,1
0.0062056993191721,0.000138119481383,8.917973813605913e-05,1
0.0062056993191721,0.0001282443993013,8.812248589782283e-05,1
0.0466666523094664,0.0002072450559551,8.706523365958652e-05,1
0.1714285589502855,0.0001150776231923,0.0002340232947744,1
0.1552380825159807,2.2910190429601984e-05,0.0001716454127184,1
0.0599999858435997,2.6201884456843653e-05,0.0001124392873772,1
0.0173333185343731,0.0001052025411106,8.283622470664118e-05,1
0.1304761773811616,9.53274590289186e-05,0.0002139355022479,1
0.1228571296473712,0.0001183693172196,0.0001399278455714,1
0.0295237949084378,0.0002072450559551,8.706523365958652e-05,1
0.2066666547190664,5.253543667477697e-05,0.0001621301425743,1
0.0342856997420569,0.0001348277873558,8.072172023016857e-05,1
0.0434285570226054,0.0001315360933285,8.072172023016857e-05,1
0.2495237982216379,3.160026266151998e-06,0.0026244706054267,1
0.0361904616755045,0.000151286257492,8.495072918311381e-05,1
0.0580952239101521,0.0002039533619278,8.495072918311381e-05,1
0.0580952239101521,0.0001874948917916,8.495072918311381e-05,1
0.0961904625791045,0.0002171201380368,8.812248589782283e-05,1
0.0619047477770473,0.0001644530336009,8.38934769448775e-05,1
0.0457142713427426,0.0001414111754103,8.072172023016857e-05,1
0.048571414242914,0.0002039533619278,8.706523365958652e-05,1
0.0282856996516969,0.0001019108470834,8.283622470664118e-05,1
0.1419047489818474,0.0001907865858189,8.600798142135012e-05,1
0.0361904616755045,6.570221278374362e-05,0.0001208973052831,1
0.0366666521588664,0.000246745384282,9.340874708900436e-05,1
0.0447618903760188,0.000233578608173,9.023699037429544e-05,1
0.068571414544114,0.0002994124887179,0.000107153026186,1
0.0447618903760188,0.0001907865858189,8.600798142135012e-05,1
0.0990476054792759,3.311444191405115e-05,0.0001399278455714,1
0.0990476054792759,2.6201884456843653e-05,0.0001187828008066,1
0.0334285568720054,0.0002434536902547,9.235149485076808e-05,1
0.0197142709511826,0.0001414111754103,8.072172023016857e-05,1
0.0676190335773902,0.0001414111754103,8.072172023016857e-05,1
0.043809509409295,0.0002237035260913,8.917973813605913e-05,1
0.0227618900446988,0.0001940782798461,8.600798142135012e-05,1
0.0504761761763616,0.0002566204663637,9.5523251565477e-05,1
0.0323809378086093,0.0001842031977644,8.600798142135012e-05,1
0.063809509710495,0.0001743281156827,8.495072918311381e-05,1
0.048571414242914,0.0002039533619278,8.706523365958652e-05,1
0.0352380807087807,0.0001414111754103,8.072172023016857e-05,1
0.0647618906772188,9.53274590289186e-05,0.0001325270799037,1
0.0419047474758474,0.0002302869141458,9.023699037429544e-05,1
0.0457142713427426,0.0001348277873558,8.072172023016857e-05,1
0.0342856997420569,0.000138119481383,8.072172023016857e-05,1
0.1047618912796188,0.0002302869141458,9.023699037429544e-05,1
0.0476190332761902,0.0001578696455465,8.38934769448775e-05,1
0.0266666520082664,0.0001315360933285,8.072172023016857e-05,1
0.0571428429434283,0.0002368703022003,9.129424261253176e-05,1
0.108571415146514,7.557729486546862e-05,0.000129355323189,1
0.0857142719451426,0.000151286257492,8.38934769448775e-05,1
0.0371428426422283,0.0001447028694375,8.177897246840488e-05,1
0.0176190328243902,0.0002500370783092,9.44659993272407e-05,1
0.1314285583478855,0.0002171201380368,8.812248589782283e-05,1
0.043809509409295,0.0003125792648268,0.0001103247829007,1
0.0999999864459997,7.886898889271028e-05,0.0001801034306243,1
0.0619047477770473,0.0001479945634647,8.283622470664118e-05,1
0.0447618903760188,0.0002269952201185,8.917973813605913e-05,1
0.0590476048768759,0.0002237035260913,8.917973813605913e-05,1
0.0761904622779045,1.7972649388739485e-05,0.0001430996022861,1
0.1076190341797902,0.0003059958767723,0.0001092675306625,1
0.030571413971834,0.0001479945634647,8.283622470664118e-05,1
0.0250476043648359,0.0001776198097099,8.600798142135012e-05,1
0.088571414845314,6.899390681098529e-05,0.0001219545575213,1
0.1466666538154664,8.545237694719361e-05,0.0001304125754272,1
0.0361904616755045,0.0001973699738734,8.600798142135012e-05,1
0.0333333187753331,0.0001348277873558,8.072172023016857e-05,1
0.0609523668103235,0.0002368703022003,9.129424261253176e-05,1
0.0533333190765331,3.607696653856865e-05,0.0001177255485684,1
0.0533333190765331,7.557729486546862e-05,0.0001282980709508,1
0.1409523680151236,5.253543667477697e-05,0.0001494431157155,1
0.063809509710495,0.0002862457126089,0.0001039812694713,1
0.0704761764775616,0.000259912160391,9.658050380371332e-05,1
0.0190476042744759,1.6326802375118654e-05,0.0001050385217096,1
0.0341904616453845,4.595204862029364e-05,0.0004253859498952,1
0.0341904616453845,2.9493578484085318e-05,0.0003830958603657,1
0.0240952233981121,9.53274590289186e-05,7.22637023242782e-05,1
