Distance,Mass,Radius
0.14761903478219027,6.241051875650195e-05,0.0001526148724302377
0.14476189188201882,8.545237694719361e-05,0.00013041257542727508
0.03333331877533311,0.00010520254111064358,8.600798142135012e-05
0.05047617617636169,0.0002533287723365185,9.5523251565477e-05
0.011979032739451851,0.0002599121603910018,0.00011561104409196676
0.17523808281718073,0.00021053674998237687,0.0001822179351008542
0.022857128141371204,0.00021053674998237687,0.0001822179351008542
0.015428556600925488,0.0002599121603910018,8.38934769448775e-05
0.04285712844257121,0.00015786964554651022,8.38934769448775e-05
0.044761890376018826,0.00028624571260893515,0.00010292401723313107
0.18285713055097122,7.228560083822695e-05,0.0001568438813831829
0.05619046197670455,0.00014470286943754358,8.177897246840488e-05
0.07619046227790455,5.582713070201863e-05,0.0001187828008066757
0.09333331967893312,0.00017432811568271857,8.495072918311381e-05
0.025714271041542634,0.00023687030220031016,9.129424261253176e-05
0.019904747144527394,0.00023687030220031016,0.0001325270799037477
0.08380951001169502,0.00024016199622755183,9.235149485076807e-05
0.3619047522950474,0.00017761980970996022,0.0003809813558892803
0.04571427134274264,0.00033232942899031844,0.00011561104409196676
0.0283809377483693,6.241051875650195e-05,0.0001208973052831484
0.017714270921062633,9.53274590289186e-05,8.177897246840488e-05
0.0809523671115236,0.0002599121603910018,9.658050380371331e-05
0.0323809378086093,0.0003257460409358351,0.00011455379185373045
0.13523808221478073,0.00012495270527409358,0.0001896187007685084
0.028095223458352157,0.00015457795151926858,8.38934769448775e-05
0.07809522421135216,6.899390681098529e-05,0.00016953090824201852
0.03999998554239978,0.00020724505595513522,8.706523365958652e-05
0.06571427164394264,0.0,0.007593556125137379
0.0419047474758474,0.00020724505595513522,8.706523365958652e-05
0.060952366810323594,6.570221278374362e-05,0.00012724081871256615
0.06952379551083787,0.0001512862574920269,8.38934769448775e-05
0.038095223608952164,0.00022041183206410186,8.812248589782283e-05
0.03963808077504473,0.0001973699738734102,8.812248589782283e-05
0.03295236638864359,8.874407097443528e-05,0.00013041257542727508
0.09714284354582835,0.00012166101124685193,0.00014098509780963826
0.03714284264222835,0.0001809115037372019,8.600798142135012e-05
0.061904747777047395,0.00021712013803686016,8.812248589782283e-05
0.048571414242914064,0.00024345369025479348,9.235149485076807e-05
0.057142842943428356,0.0002335786081730685,9.023699037429545e-05
0.012761889894098823,8.216068291995194e-05,8.495072918311381e-05
0.02819046155502454,0.0001315360933285769,8.072172023016857e-05
0.02457141388147406,0.00011836931721961027,8.072172023016857e-05
0.04666665230946645,0.00013811948138306025,8.072172023016857e-05
0.0523809381098093,0.00023028691414582684,9.023699037429545e-05
0.057142842943428356,3.192943206424414e-06,0.007170655229842855
0.015333318504253108,0.00014141117541030193,8.072172023016857e-05
0.03333331877533311,0.00016774472762823522,8.495072918311381e-05
0.04095236650912359,0.00015457795151926858,8.600798142135012e-05
0.0523809381098093,0.00028624571260893515,0.00010292401723313107
0.07333331937773312,0.00014799456346478525,8.283622470664118e-05
0.022409509087011014,0.0002006616679006519,8.706523365958652e-05
0.04095236650912359,0.00020724505595513522,8.706523365958652e-05
0.02628569962157692,0.00025003707830927686,9.44659993272407e-05
0.047619033276190256,0.0001611613395737519,8.495072918311381e-05
0.019047604274475965,0.00013482778735581858,8.072172023016857e-05
0.01657141376099406,0.00010191084708340194,8.177897246840488e-05
0.05619046197670455,0.00015786964554651022,8.283622470664118e-05
0.04380950940929502,0.00014141117541030193,8.072172023016857e-05
0.0523809381098093,0.00016445303360099355,8.495072918311381e-05
0.057142842943428356,8.545237694719361e-05,0.00013041257542727508
0.05047617617636169,0.00015786964554651022,8.38934769448775e-05
0.03276189019529883,0.00013482778735581858,8.072172023016857e-05
0.012523794652417871,0.00025003707830927686,9.44659993272407e-05
0.006205699319172117,0.00013811948138306025,8.917973813605913e-05
0.006205699319172117,0.00012824439930133526,8.812248589782283e-05
0.04666665230946645,0.00020724505595513522,8.706523365958652e-05
0.1714285589502855,0.00011507762319236861,0.00023402329477443347
0.15523808251598073,2.2910190429601984e-05,0.00017164541271849114
0.059999985843599786,2.6201884456843653e-05,0.00011243928737725793
0.01733331853437311,0.00010520254111064358,8.283622470664118e-05
0.13047617738116168,9.53274590289186e-05,0.0002139355022479436
0.12285712964737121,0.00011836931721961027,0.00013992784557140196
0.029523794908437873,0.00020724505595513522,8.706523365958652e-05
0.20666665471906645,5.253543667477697e-05,0.00016213014257436445
0.034285699742056926,0.00013482778735581858,8.072172023016857e-05
0.04342855702260549,0.0001315360933285769,8.072172023016857e-05
0.2495237982216379,3.160026266151998e-06,0.0026244706054267286
0.03619046167550454,0.0001512862574920269,8.495072918311381e-05
0.05809522391015216,0.00020395336192789354,8.495072918311381e-05
0.05809522391015216,0.00018749489179168522,8.495072918311381e-05
0.09619046257910455,0.00021712013803686016,8.812248589782283e-05
0.061904747777047395,0.00016445303360099355,8.38934769448775e-05
0.04571427134274264,0.00014141117541030193,8.072172023016857e-05
0.048571414242914064,0.00020395336192789354,8.706523365958652e-05
0.02828569965169692,0.00010191084708340194,8.283622470664118e-05
